id,task,framework,constraint,version,fold,type,metric,utc,training_duration,predict_duration,result
id/0,fashion_mnist,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:14:58,14106.6,64.8,0.926
id/0,casting,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-02-29T10:14:16,1604.6,42.1,0.997324805339266
id/0,hateful_meme,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-02-29T10:14:31,3641.1,48.8,0.614740095678559
id/0,petfinder,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:14:56,5703.6,59.8,0.396949404761905
id/0,memotion,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:14:19,2287.3,47.3,0.458512160228898
id/0,food101,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:15:35,18352.5,104.4,0.924039603960396
id/0,stanfordcars,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:14:51,2301.8,60.7,0.458525059072255
id/0,magnetictiledefects,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:14:07,596.6,34.4,0.711309523809524
id/0,europeanflooddepth,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-02-29T10:14:26,1194.5,35.6,0.842714879113857
id/0,oxfordflowers,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:14:23,733.7,54.5,0.735566758822573
id/0,OxfordIIITPet,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:14:30,1800.0,43.1,0.939824205544287
id/0,ham10000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:14:35,4322.2,49.5,0.862951807228916
id/0,cd18,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,regression,rmse,2024-02-29T10:14:07,1930.5,44.1,428.744507908609
id/0,europeanflooddepth,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-02-29T10:44:22,1225.4,35.4,0.842714879113857
id/0,hateful_meme,ablation_weight_decay,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-02-29T10:59:38,3689.6,48.9,0.610086930455636
id/0,petfinder,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:59:33,5832.1,59.8,0.40922619047619
id/0,memotion,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:59:26,2245.9,47.3,0.437768240343348
id/0,food101,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:00:40,17528.9,103.8,0.924475247524752
id/0,stanfordcars,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:59:56,2320.4,60.1,0.459022509638105
id/0,magnetictiledefects,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:59:15,581.0,34.6,0.711309523809524
id/0,europeanflooddepth,ablation_weight_decay,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-02-29T10:59:34,1215.1,35.1,0.843773298540846
id/0,oxfordflowers,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:59:25,742.5,54.8,0.74223450967637
id/0,OxfordIIITPet,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:59:34,1732.1,42.6,0.941176470588235
id/0,ham10000,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:59:42,4358.2,49.1,0.876004016064257
id/0,cd18,ablation_weight_decay,g4_12x,1.0.1b20240229,0,regression,rmse,2024-02-29T10:59:13,1880.4,44.1,424.643789239494
id/0,fashion_mnist,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T10:57:07,14479.0,64.9,0.9302
id/0,fashion_mnist,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:14:19,14279.0,65.1,0.9285
id/0,OxfordIIITPet,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:20:18,1731.4,42.7,0.944557133198107
id/0,fashion_mnist,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T11:31:17,13984.0,64.5,0.9253
id/0,fashion_mnist,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T18:50:31,13902.0,64.5,0.954
id/0,casting,ablation_lr_decay,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-02-29T18:49:52,1520.6,41.9,0.999986095661846
id/0,hateful_meme,ablation_lr_decay,g4_12x,1.0.1b20240229,0,binary,roc_auc,2024-02-29T18:50:06,3138.4,49.2,0.769859877404199
id/0,petfinder,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T18:50:02,5568.2,60.0,0.408854166666667
